iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2014,7,28,0,11,0,0,0,1,1,1,0,1,1,1,3,1,7,0,0,147,0,1,0,0,10,0,6,13,1,0,1,6,0,0,0,4,0,0,0,0,0,1
2013,7,24,0,6,0,0,0,1,1,1,0,0,1,0,3,14,73,0,0,4,1,-99,0,0,10,0,6,16,3,0,0,0,0,0,1,3,0,0,0,0,0,5
2013,10,18,0,11,0,0,1,1,1,1,0,0,1,0,2,7,47,0,0,422,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,1,4,0,0,1,1,1,0
2014,1,27,0,6,0,0,0,1,1,1,0,0,1,0,3,3,23,0,0,92,0,-99,0,0,10,0,6,8,1,0,0,15,0,0,-9,4,0,-9,-9,0,-9,52
2013,12,20,0,5,0,0,0,1,1,1,0,0,1,0,7,1,9,0,0,160,1,-99,0,0,10,0,5,5,0,0,0,0,0,0,1,3,0,0,0,0,0,3
2013,1,14,1,6,0,0,0,1,1,1,0,0,1,0,6,14,84,0,0,19,1,5,0,0,10,0,5,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0
2014,10,29,0,10,0,0,0,1,1,1,0,0,1,0,3,14,74,0,0,95,0,-99,0,1,7,0,6,16,2,0,0,8,0,0,-9,4,0,-9,-9,0,-9,99
2014,9,27,0,9,0,0,1,1,1,0,1,1,1,0,9,4,34,0,0,214,0,-99,0,0,10,0,13,0,0,0,0,0,0,0,-9,4,0,-9,-9,0,-9,112
2014,10,1,0,6,0,0,0,1,1,1,0,1,1,0,3,3,23,0,0,153,0,-99,0,1,2,1,6,7,0,0,0,2,0,0,1,3,0,0,0,0,0,14
2011,12,29,1,11,0,0,0,1,1,1,0,0,1,0,6,14,67,0,0,182,0,-99,0,0,10,0,13,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4
2014,9,27,0,5,0,0,0,1,1,0,1,1,1,0,9,4,29,0,0,138,0,-99,0,0,10,0,13,0,0,0,0,0,0,0,-9,4,0,0,0,0,0,0
2014,3,27,0,11,0,0,0,1,1,1,0,0,1,0,8,14,67,0,0,147,0,-99,0,0,10,0,2,0,15,0,0,0,0,0,0,4,0,-9,-9,0,-9,81
2014,7,10,0,6,0,0,0,1,1,1,0,0,1,0,2,3,23,0,0,153,0,-99,0,1,7,0,5,5,3,0,1,1,0,0,1,3,0,0,0,0,0,2
2012,7,2,0,10,0,0,0,1,1,1,0,0,1,0,1,2,20,0,0,228,1,-99,0,0,10,0,6,15,1,0,0,0,0,0,1,3,0,0,1,0,1,12
2011,11,5,0,6,0,0,1,1,1,0,1,0,1,0,3,4,29,0,0,153,1,-99,0,0,10,0,6,11,3,0,0,3,0,0,-9,4,0,0,0,0,0,2
2011,7,5,1,11,0,0,1,1,1,1,0,0,1,0,6,14,67,0,0,182,1,-99,0,0,10,0,13,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4
