iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2014,11,25,0,9,0,0,1,1,1,0,1,0,1,0,2,4,34,0,0,214,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,-9,4,0,-9,-9,0,-9,113
2012,6,26,0,11,0,0,0,1,1,1,0,1,1,0,3,3,22,0,0,147,1,30,3,0,10,0,6,16,7,0,3,1,0,0,1,3,0,0,0,0,0,1
2013,5,20,0,6,0,0,0,1,1,1,0,1,1,0,2,3,24,0,0,4,0,-99,0,1,2,0,5,5,6,0,5,0,0,0,1,4,0,0,0,0,0,5
2013,8,5,0,6,0,0,0,1,1,1,0,0,0,0,3,20,0,0,0,153,0,-99,0,1,2,0,6,15,0,0,0,0,0,0,0,4,0,0,0,0,0,87
2013,7,20,1,11,0,0,0,1,1,1,0,0,1,0,6,2,19,0,0,123,0,2,1,0,10,0,5,5,0,0,0,0,0,0,0,4,1,-9,-9,0,-9,74
2012,12,15,0,6,0,0,0,1,1,1,0,0,1,0,7,4,37,0,0,422,0,-99,0,0,10,0,5,2,0,0,0,0,0,0,1,3,0,0,1,1,1,5
2013,4,6,0,11,0,0,0,1,1,1,0,1,1,0,2,21,106,0,0,137,0,-99,0,0,10,0,5,2,2,0,0,0,0,0,0,4,0,0,0,0,0,71
2013,5,13,0,6,0,0,0,1,1,1,0,0,1,1,3,4,37,0,0,422,0,-99,0,1,7,0,6,15,2,0,1,3,2,0,1,4,0,0,1,1,1,5
2014,7,13,0,11,0,0,1,1,1,0,1,0,1,0,3,4,27,0,0,422,0,-99,0,0,10,0,6,16,0,0,0,0,0,0,-9,4,0,0,1,1,1,4
2014,7,7,0,5,0,0,0,1,1,0,1,0,0,0,2,4,29,0,0,160,0,-99,1,0,10,0,5,5,0,0,0,0,0,0,0,4,0,0,0,0,0,3
2011,11,8,0,6,0,0,0,1,1,0,1,0,1,0,9,4,37,0,0,422,0,-99,-99,0,10,0,13,0,60,0,60,0,0,0,0,4,0,0,1,1,1,5
2014,1,7,1,10,0,0,0,1,1,1,0,0,1,0,6,2,18,0,0,60,0,-99,0,1,10,0,5,5,0,0,0,0,0,0,0,4,1,-9,-9,0,-9,86
2014,9,17,0,10,0,0,0,1,1,1,0,1,1,0,7,8,49,0,0,209,0,-99,0,0,10,0,8,20,0,0,0,0,0,0,1,3,0,0,0,0,0,28
2013,7,9,0,6,0,0,0,1,1,0,1,0,1,0,2,4,37,0,0,422,0,-99,0,1,8,0,5,5,1,0,0,5,0,0,0,4,0,0,1,1,1,5
2013,10,15,0,6,0,0,0,1,1,1,0,0,1,0,1,2,18,0,0,4,0,-99,0,1,4,0,6,16,1,0,0,15,0,0,1,3,0,0,0,0,0,0
2014,12,6,0,6,0,0,0,1,1,1,0,0,1,0,3,3,23,0,0,4,0,-99,0,1,7,0,6,16,1,0,0,3,0,0,1,3,0,0,0,0,0,5
2011,5,7,0,6,0,0,0,1,1,1,0,0,1,1,3,2,21,0,0,4,0,21,0,1,10,0,6,15,21,0,18,38,0,0,1,3,0,0,0,0,0,5
2014,10,11,0,10,0,0,0,1,1,0,1,0,1,1,3,4,27,0,0,95,0,-99,0,1,7,0,6,15,9,0,7,0,0,0,-9,4,0,-9,-9,0,-9,99
2014,7,14,0,10,0,0,0,1,1,1,0,1,1,0,3,14,76,0,0,95,0,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,99
2014,7,19,0,10,0,0,1,1,1,1,0,0,1,0,3,21,106,0,0,60,0,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,4,0,-9,-9,0,-9,60
2012,5,5,0,10,0,0,0,1,1,1,0,0,1,0,3,1,7,0,0,200,0,-99,0,1,8,0,6,15,5,0,0,21,0,0,1,3,0,0,0,0,0,56
2012,4,30,0,8,0,0,0,1,1,1,0,0,0,0,3,14,67,0,0,96,1,-99,0,0,10,0,6,17,0,0,0,0,0,0,0,4,0,1,1,0,1,65
2013,4,29,0,6,0,0,1,1,1,1,0,1,1,0,3,19,100,0,0,153,0,-99,0,1,4,0,6,16,0,0,0,0,0,0,1,4,0,-9,-9,0,-9,27
2014,1,30,0,11,0,0,0,1,1,1,0,0,1,0,2,3,22,0,0,147,0,-99,0,0,10,0,6,16,0,0,0,1,0,0,1,3,0,0,0,0,0,1
2013,2,17,0,10,0,0,0,1,1,1,0,1,1,0,3,14,67,0,0,95,0,-99,0,1,7,0,6,15,3,0,0,10,0,0,-9,4,0,0,0,0,0,17
2012,2,25,0,6,0,0,0,1,1,1,0,1,1,0,3,19,100,0,0,153,0,-99,0,1,5,0,6,16,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,27
2014,10,4,0,6,0,0,0,1,1,1,0,0,1,0,2,3,25,0,0,4,0,-99,0,0,10,0,5,5,2,0,0,2,0,0,0,4,0,0,0,0,0,5
2012,12,9,0,10,0,0,0,1,1,1,0,0,1,0,3,21,106,0,0,228,0,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,4,0,0,1,0,1,12
2014,12,17,0,11,0,0,0,1,1,1,0,0,1,0,2,14,67,0,0,229,0,-99,0,0,10,0,5,5,6,0,0,0,0,0,0,4,0,0,1,0,1,90
2011,5,21,0,8,0,0,0,1,1,1,0,0,1,0,3,1,3,0,0,185,0,-99,0,1,8,0,6,17,0,0,0,0,0,0,1,3,0,0,1,1,1,0
2014,6,8,0,6,0,0,0,1,1,1,0,1,1,0,2,3,22,0,0,4,0,-99,0,1,8,0,5,5,6,0,5,0,0,0,-9,4,0,0,0,0,0,5
2013,6,16,0,11,0,0,0,1,1,1,0,1,1,0,2,8,49,0,0,147,0,-99,0,0,10,0,6,11,11,0,2,7,0,0,1,3,0,0,0,0,0,1
2014,8,12,1,6,0,0,0,1,1,1,0,1,1,0,6,3,22,0,0,4,0,-99,0,1,8,0,13,0,2,0,2,0,0,0,0,4,1,0,0,0,0,5
2014,5,21,0,6,0,0,0,1,1,1,0,0,1,0,2,3,25,0,0,4,0,-99,0,0,10,0,5,5,1,0,0,1,0,0,1,3,0,0,0,0,0,5
2014,10,27,1,10,0,0,0,1,1,1,0,1,1,0,6,10,0,0,0,95,0,-99,0,0,10,0,13,0,0,0,0,0,0,0,1,3,1,-9,-9,0,-9,99
2014,10,3,1,11,0,0,0,1,1,1,0,1,1,0,2,14,75,0,0,147,0,100,0,0,10,0,5,5,2,0,0,0,0,0,1,3,-9,-9,-9,0,-9,81
2013,12,16,0,10,0,0,0,1,1,1,0,1,1,0,3,3,25,0,0,95,0,-99,0,1,7,0,6,16,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,99
2012,4,5,0,6,0,0,0,1,1,0,1,0,1,0,9,4,29,0,0,4,0,-99,0,0,10,0,13,0,5,0,5,0,0,0,0,4,0,0,0,0,0,5
2012,6,14,0,6,0,0,0,1,1,1,0,1,1,0,3,21,107,0,0,153,0,-99,0,1,2,0,6,11,0,0,0,0,0,0,0,4,0,0,0,0,0,55
